file,a,t1,t2,annotation,tier,tier_type,participant,annotator,ref,parent_tier,start,end,duration
file_002,a2791,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a528,gloss_RH_S2,NA,NA,NA
file_002,a2792,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a529,gloss_RH_S2,NA,NA,NA
file_002,a2793,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a530,gloss_RH_S2,NA,NA,NA
file_002,a2794,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a531,gloss_RH_S2,NA,NA,NA
file_002,a2795,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a532,gloss_RH_S2,NA,NA,NA
file_002,a2796,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a533,gloss_RH_S2,NA,NA,NA
file_002,a2797,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a534,gloss_RH_S2,NA,NA,NA
file_002,a2798,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a535,gloss_RH_S2,NA,NA,NA
file_002,a2799,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a537,gloss_RH_S2,NA,NA,NA
file_002,a2800,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a539,gloss_RH_S2,NA,NA,NA
file_002,a2801,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a540,gloss_RH_S2,NA,NA,NA
file_002,a2802,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a542,gloss_RH_S2,NA,NA,NA
file_002,a2803,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a543,gloss_RH_S2,NA,NA,NA
file_002,a2804,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a544,gloss_RH_S2,NA,NA,NA
file_002,a2805,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a545,gloss_RH_S2,NA,NA,NA
file_002,a2806,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a547,gloss_RH_S2,NA,NA,NA
file_002,a2807,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a548,gloss_RH_S2,NA,NA,NA
file_002,a2808,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a549,gloss_RH_S2,NA,NA,NA
file_002,a2809,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a550,gloss_RH_S2,NA,NA,NA
file_002,a2810,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a551,gloss_RH_S2,NA,NA,NA
file_002,a2811,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a552,gloss_RH_S2,NA,NA,NA
file_002,a2812,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a553,gloss_RH_S2,NA,NA,NA
file_002,a2813,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a554,gloss_RH_S2,NA,NA,NA
file_002,a2814,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a555,gloss_RH_S2,NA,NA,NA
file_002,a2815,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a556,gloss_RH_S2,NA,NA,NA
file_002,a2816,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a557,gloss_RH_S2,NA,NA,NA
file_002,a2817,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a558,gloss_RH_S2,NA,NA,NA
file_002,a2818,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a559,gloss_RH_S2,NA,NA,NA
file_002,a2819,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a560,gloss_RH_S2,NA,NA,NA
file_002,a2820,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a561,gloss_RH_S2,NA,NA,NA
file_002,a2821,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a562,gloss_RH_S2,NA,NA,NA
file_002,a2822,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a563,gloss_RH_S2,NA,NA,NA
file_002,a2823,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a564,gloss_RH_S2,NA,NA,NA
file_002,a2824,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a565,gloss_RH_S2,NA,NA,NA
file_002,a2825,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a566,gloss_RH_S2,NA,NA,NA
file_002,a2826,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a567,gloss_RH_S2,NA,NA,NA
file_002,a2827,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a568,gloss_RH_S2,NA,NA,NA
file_002,a2828,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a569,gloss_RH_S2,NA,NA,NA
file_002,a2829,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a570,gloss_RH_S2,NA,NA,NA
file_002,a2830,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a571,gloss_RH_S2,NA,NA,NA
file_002,a2831,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a572,gloss_RH_S2,NA,NA,NA
file_002,a2832,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a573,gloss_RH_S2,NA,NA,NA
file_002,a2833,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a574,gloss_RH_S2,NA,NA,NA
file_002,a2834,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a575,gloss_RH_S2,NA,NA,NA
file_002,a2835,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a576,gloss_RH_S2,NA,NA,NA
file_002,a2836,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a578,gloss_RH_S2,NA,NA,NA
file_002,a2837,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a579,gloss_RH_S2,NA,NA,NA
file_002,a2838,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a580,gloss_RH_S2,NA,NA,NA
file_002,a2839,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a581,gloss_RH_S2,NA,NA,NA
file_002,a2840,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a582,gloss_RH_S2,NA,NA,NA
file_002,a2841,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a583,gloss_RH_S2,NA,NA,NA
file_002,a2842,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a584,gloss_RH_S2,NA,NA,NA
file_002,a2843,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a586,gloss_RH_S2,NA,NA,NA
file_002,a2844,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a587,gloss_RH_S2,NA,NA,NA
file_002,a2845,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a588,gloss_RH_S2,NA,NA,NA
file_002,a2846,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a589,gloss_RH_S2,NA,NA,NA
file_002,a2847,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a590,gloss_RH_S2,NA,NA,NA
file_002,a2848,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a591,gloss_RH_S2,NA,NA,NA
file_002,a2849,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a592,gloss_RH_S2,NA,NA,NA
file_002,a2850,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a593,gloss_RH_S2,NA,NA,NA
file_002,a2851,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a594,gloss_RH_S2,NA,NA,NA
